time,x_real,y_real,SOC,power,rpm,mtr_temp
49.00,-0.26,0.31,99.76,-115.00,56.35,21.35
50.00,-0.13,0.31,99.75,-115.00,57.50,21.38
51.00,-0.04,0.47,99.75,-115.00,58.65,21.40
52.00,-0.03,0.32,99.74,-115.00,59.80,21.43
53.00,-0.19,0.49,99.74,-115.00,60.95,21.46
54.00,-0.33,0.22,99.73,-115.00,62.10,21.49
55.00,-0.38,0.28,99.73,-115.00,63.25,21.51
56.00,-0.51,0.23,99.72,-115.00,64.40,21.54
57.00,-0.28,0.22,99.72,-115.00,65.55,21.57
58.00,-0.16,0.43,99.71,-115.00,66.70,21.60
59.00,-0.27,0.12,99.71,-115.00,67.85,21.62
60.00,-0.49,0.38,99.70,-115.00,69.00,21.65
61.00,-0.49,0.32,99.70,-115.00,70.15,21.68
62.00,-0.49,0.31,99.69,-115.00,71.30,21.71
63.00,-0.31,0.19,99.69,-115.00,72.45,21.73
64.00,-0.36,0.06,99.68,-115.00,73.60,21.76
65.00,-0.56,0.02,99.68,-115.00,74.75,21.79
66.00,-0.52,0.50,99.67,-115.00,75.90,21.82
67.00,-0.41,0.25,99.67,-115.00,77.05,21.84
68.00,-0.54,0.33,99.66,-115.00,78.20,21.87
69.00,-0.36,0.39,99.66,-115.00,79.35,21.90
70.00,-0.23,0.09,99.65,-115.00,80.50,21.93
71.00,-0.38,0.31,99.65,-115.00,81.65,21.95
72.00,-0.43,0.08,99.64,-115.00,82.80,21.98
73.00,-0.50,0.10,99.64,-115.00,83.95,22.01
74.00,-0.44,0.49,99.63,-115.00,85.10,22.04
75.00,-0.72,0.02,99.63,-115.00,86.25,22.06
76.00,-0.61,0.16,99.62,-115.00,87.40,22.09
77.00,-0.42,0.04,99.62,-115.00,88.55,22.12
78.00,-0.59,0.48,99.61,-115.00,89.70,22.15
79.00,-0.71,0.13,99.61,-115.00,90.85,22.17
80.00,-0.50,0.32,99.60,-115.00,92.00,22.20
81.00,-0.73,0.47,99.60,-115.00,93.15,22.23
82.00,-0.38,0.34,99.59,-115.00,94.30,22.26
83.00,-0.58,0.19,99.59,-115.00,95.45,22.28
84.00,-0.64,0.11,99.58,-115.00,96.60,22.31
85.00,-0.54,0.37,99.58,-115.00,97.75,22.34
86.00,-0.85,0.24,99.57,-115.00,98.90,22.37
87.00,-0.47,0.16,99.57,-115.00,100.05,22.39
88.00,-0.78,0.17,99.56,-115.00,101.20,22.42
89.00,-0.45,0.34,99.56,-115.00,102.35,22.45
90.00,-0.53,0.31,99.55,-115.00,103.50,22.48
91.00,-0.67,0.32,99.55,-115.00,104.65,22.50
92.00,-0.82,0.39,99.54,-115.00,105.80,22.53
93.00,-0.91,0.46,99.54,-115.00,106.95,22.56
94.00,-0.45,0.30,99.53,-115.00,108.10,22.59
95.00,-0.76,0.04,99.53,-115.00,109.25,22.61
96.00,-0.76,0.14,99.52,-115.00,110.40,22.64
97.00,-0.53,0.35,99.52,-115.00,111.55,22.67
98.00,-0.80,0.31,99.51,-115.00,112.70,22.70
99.00,-0.62,0.02,99.51,-115.00,113.85,22.72
100.00,-0.80,0.36,99.50,-115.00,115.00,22.75
101.00,-0.66,0.23,99.50,-115.00,116.15,22.78
102.00,-0.74,0.41,99.49,-115.00,117.30,22.81
103.00,-0.68,0.14,99.49,-115.00,118.45,22.83
104.00,-0.96,0.18,99.48,-115.00,119.60,22.86
105.00,-0.59,0.31,99.48,-115.00,120.75,22.89
106.00,-0.57,0.44,99.47,-115.00,121.90,22.92
107.00,-0.96,0.03,99.47,-115.00,123.05,22.94
108.00,-0.71,0.09,99.46,-115.00,124.20,22.97
109.00,-0.88,0.28,99.46,-115.00,125.35,23.00
110.00,-1.02,0.28,99.45,-115.00,126.50,23.03
111.00,-1.10,0.13,99.45,-115.00,127.65,23.05
112.00,-0.72,0.38,99.44,-115.00,128.80,23.08
113.00,-0.85,0.21,99.44,-115.00,129.95,23.11
114.00,-1.12,0.32,99.43,-115.00,131.10,23.14
115.00,-0.99,0.27,99.43,-115.00,132.25,23.16
116.00,-0.67,0.22,99.42,-115.00,133.40,23.19
117.00,-0.68,0.13,99.42,-115.00,134.55,23.22
118.00,-0.81,0.14,99.41,-115.00,135.70,23.25
119.00,-0.78,0.23,99.41,-115.00,136.85,23.27
120.00,-0.85,0.42,99.40,-115.00,138.00,23.30
121.00,-0.86,0.48,99.40,-115.00,139.15,23.33
122.00,-0.89,0.17,99.39,-115.00,140.30,23.36
123.00,-0.90,0.12,99.39,-115.00,141.45,23.38
124.00,-0.98,0.31,99.38,-115.00,142.60,23.41
125.00,-1.23,0.41,99.38,-115.00,143.75,23.44
126.00,-0.80,0.30,99.37,-115.00,144.90,23.47
127.00,-0.87,0.14,99.37,-115.00,146.05,23.49
128.00,-1.09,0.40,99.36,-115.00,147.20,23.52
129.00,-1.12,0.25,99.36,-115.00,148.35,23.55
130.00,-0.91,0.44,99.35,-115.00,149.50,23.58
131.00,-1.00,0.05,99.35,-115.00,150.65,23.60
132.00,-1.01,0.17,99.34,-115.00,151.80,23.63
133.00,-1.08,0.38,99.34,-115.00,152.95,23.66
134.00,-1.26,0.04,99.33,-115.00,154.10,23.69
135.00,-0.94,0.11,99.33,-115.00,155.25,23.71
136.00,-1.09,0.15,99.32,-115.00,156.40,23.74
137.00,-0.92,0.22,99.32,-115.00,157.55,23.77
138.00,-1.30,0.16,99.31,-115.00,158.70,23.80
139.00,-1.20,0.11,99.31,-115.00,159.85,23.82
140.00,-1.19,0.04,99.30,-115.00,161.00,23.85
141.00,-0.96,0.19,99.30,-115.00,162.15,23.88
142.00,-0.99,0.21,99.29,-115.00,163.30,23.91
143.00,-1.03,0.24,99.29,-115.00,164.45,23.93
144.00,-1.27,0.07,99.28,-115.00,165.60,23.96
145.00,-1.21,0.04,99.28,-115.00,166.75,23.99
146.00,-1.14,0.46,99.27,-115.00,167.90,24.02
147.00,-1.12,0.14,99.27,-115.00,169.05,24.04
148.00,-1.04,0.13,99.26,-115.00,170.20,24.07
149.00,-1.38,0.34,99.26,-115.00,171.35,24.10
150.00,-1.41,0.25,99.25,-115.00,172.50,24.13
151.00,-1.33,0.07,99.25,-115.00,173.65,24.15
152.00,-1.47,0.40,99.24,-115.00,174.80,24.18
153.00,-1.32,0.12,99.24,-115.00,175.95,24.21
154.00,-1.50,0.00,99.23,-115.00,177.10,24.24
155.00,-1.18,0.17,99.23,-115.00,178.25,24.26
156.00,-1.54,0.02,99.22,-115.00,179.40,24.29
157.00,-1.30,0.22,99.22,-115.00,180.55,24.32
158.00,-1.40,0.32,99.21,-115.00,181.70,24.35
159.00,-1.17,0.49,99.21,-115.00,182.85,24.37
160.00,-1.35,0.25,99.20,-115.00,184.00,24.40
161.00,-1.38,0.06,99.20,-115.00,185.15,24.43
162.00,-1.25,0.43,99.19,-115.00,186.30,24.46
163.00,-1.42,0.25,99.19,-115.00,187.45,24.48
164.00,-1.31,0.44,99.18,-115.00,188.60,24.51
165.00,-1.58,0.05,99.18,-115.00,189.75,24.54
166.00,-1.27,0.05,99.17,-115.00,190.90,24.57
167.00,-1.20,0.49,99.17,-115.00,192.05,24.59
168.00,-1.19,0.31,99.16,-115.00,193.20,24.62
169.00,-1.52,0.29,99.16,-115.00,194.35,24.65
170.00,-1.41,0.48,99.15,-115.00,195.50,24.68
171.00,-1.26,0.24,99.15,-115.00,196.65,24.70
172.00,-1.55,0.37,99.14,-115.00,197.80,24.73
173.00,-1.32,0.44,99.14,-115.00,198.95,24.76
174.00,-1.61,0.18,99.13,-115.00,200.10,24.79
175.00,-1.47,0.36,99.13,-115.00,201.25,24.81
176.00,-1.44,0.27,99.12,-115.00,202.40,24.84
177.00,-1.63,0.38,99.12,-115.00,203.55,24.87
178.00,-1.39,0.11,99.11,-115.00,204.70,24.90
179.00,-1.69,0.44,99.11,-115.00,205.85,24.92
180.00,-1.39,0.29,99.10,-115.00,207.00,24.95
181.00,-1.67,0.09,99.10,-115.00,208.15,24.98
182.00,-1.69,0.28,99.09,-115.00,209.30,25.01
183.00,-1.65,0.26,99.09,-115.00,210.45,25.03
184.00,-1.78,0.45,99.08,-115.00,211.60,25.06
185.00,-1.59,0.18,99.08,-115.00,212.75,25.09
186.00,-1.51,0.18,99.07,-115.00,213.90,25.12
187.00,-1.68,0.12,99.07,-115.00,215.05,25.14
188.00,-1.50,0.37,99.06,-115.00,216.20,25.17
189.00,-1.59,0.14,99.06,-115.00,217.35,25.20
190.00,-1.78,0.44,99.05,-115.00,218.50,25.23
191.00,-1.67,0.25,99.05,-115.00,219.65,25.25
192.00,-1.51,0.48,99.04,-115.00,220.80,25.28
193.00,-1.50,0.26,99.04,-115.00,221.95,25.31
194.00,-1.58,0.18,99.03,-115.00,223.10,25.34
195.00,-1.91,0.24,99.03,-115.00,224.25,25.36
196.00,-1.91,0.37,99.02,-115.00,225.40,25.39
197.00,-1.71,0.40,99.02,-115.00,226.55,25.42
198.00,-1.82,0.28,99.01,-115.00,227.70,25.45
199.00,-1.73,0.42,99.01,-115.00,228.85,25.47
200.00,-1.92,0.32,99.00,-115.00,230.00,25.50
201.00,-1.83,0.03,99.00,-115.00,231.15,25.53
202.00,-1.58,0.10,98.99,-115.00,232.30,25.56
203.00,-1.92,0.35,98.99,-115.00,233.45,25.58
204.00,-1.85,0.36,98.98,-115.00,234.60,25.61
205.00,-1.90,0.22,98.98,-115.00,235.75,25.64
206.00,-1.95,0.14,98.97,-115.00,236.90,25.67
207.00,-1.59,0.33,98.97,-115.00,238.05,25.69
208.00,-1.68,0.49,98.96,-115.00,239.20,25.72
209.00,-1.60,0.41,98.96,-115.00,240.35,25.75
210.00,-1.60,0.30,98.95,-115.00,241.50,25.78
211.00,-1.98,0.48,98.95,-115.00,242.65,25.80
212.00,-1.90,0.36,98.94,-115.00,243.80,25.83
213.00,-2.07,0.17,98.94,-115.00,244.95,25.86
214.00,-1.80,0.37,98.93,-115.00,246.10,25.89
215.00,-1.75,0.45,98.93,-115.00,247.25,25.91
216.00,-1.78,0.07,98.92,-115.00,248.40,25.94
217.00,-2.03,0.17,98.92,-115.00,249.55,25.97
218.00,-1.68,0.07,98.91,-115.00,250.70,26.00
219.00,-1.96,0.32,98.91,-115.00,251.85,26.02
220.00,-2.02,0.17,98.90,-115.00,253.00,26.05
221.00,-1.96,0.35,98.90,-115.00,254.15,26.08
222.00,-1.99,0.12,98.89,-115.00,255.30,26.11
223.00,-2.02,0.42,98.89,-115.00,256.45,26.13
224.00,-1.98,0.16,98.88,-115.00,257.60,26.16
225.00,-1.97,0.34,98.88,-115.00,258.75,26.19
226.00,-1.77,0.21,98.87,-115.00,259.90,26.22
227.00,-2.07,0.10,98.87,-115.00,261.05,26.24
228.00,-2.23,0.27,98.86,-115.00,262.20,26.27
229.00,-2.02,0.37,98.86,-115.00,263.35,26.30
230.00,-2.15,0.33,98.85,-115.00,264.50,26.33
231.00,-2.29,0.37,98.85,-115.00,265.65,26.35
232.00,-1.94,0.20,98.84,-115.00,266.80,26.38
233.00,-2.26,0.18,98.84,-115.00,267.95,26.41
234.00,-1.92,0.22,98.83,-115.00,269.10,26.44
235.00,-1.91,0.21,98.83,-115.00,270.25,26.46
236.00,-2.36,0.23,98.82,-115.00,271.40,26.49
237.00,-2.07,0.06,98.82,-115.00,272.55,26.52
238.00,-2.20,0.39,98.81,-115.00,273.70,26.55
239.00,-2.01,0.02,98.81,-115.00,274.85,26.57
240.00,-2.14,0.12,98.80,-115.00,276.00,26.60
241.00,-2.06,0.48,98.80,-115.00,277.15,26.63
242.00,-2.20,0.41,98.79,-115.00,278.30,26.66
243.00,-2.22,0.37,98.79,-115.00,279.45,26.68
244.00,-2.00,0.12,98.78,-115.00,280.60,26.71
245.00,-2.08,0.09,98.78,-115.00,281.75,26.74
246.00,-2.02,0.07,98.77,-115.00,282.90,26.77
247.00,-2.28,0.44,98.77,-115.00,284.05,26.79
248.00,-2.05,0.10,98.76,-115.00,285.20,26.82
249.00,-2.35,0.26,98.76,-115.00,286.35,26.85
250.00,-2.49,0.28,98.75,-115.00,287.50,26.88
251.00,-2.27,0.25,98.75,-115.00,288.65,26.90
252.00,-2.12,0.43,98.74,-115.00,289.80,26.93
253.00,-2.34,0.46,98.74,-115.00,290.95,26.96
254.00,-2.41,0.17,98.73,-115.00,292.10,26.99
255.00,-2.22,0.36,98.73,-115.00,293.25,27.01
256.00,-2.42,0.04,98.72,-115.00,294.40,27.04
257.00,-2.44,0.27,98.72,-115.00,295.55,27.07
258.00,-2.41,0.12,98.71,-115.00,296.70,27.10
259.00,-2.13,0.39,98.71,-115.00,297.85,27.12
260.00,-2.19,0.34,98.70,-115.00,299.00,27.15
261.00,-2.51,0.47,98.70,-115.00,300.15,27.18
262.00,-2.44,0.02,98.69,-115.00,301.30,27.21
263.00,-2.14,0.13,98.69,-115.00,302.45,27.23
264.00,-2.26,0.24,98.68,-115.00,303.60,27.26
265.00,-2.51,0.28,98.68,-115.00,304.75,27.29
266.00,-2.42,0.20,98.67,-115.00,305.90,27.32
267.00,-2.56,0.27,98.67,-115.00,307.05,27.34
268.00,-2.54,0.28,98.66,-115.00,308.20,27.37
269.00,-2.35,0.23,98.66,-115.00,309.35,27.40
270.00,-2.61,0.50,98.65,-115.00,310.50,27.43
271.00,-2.28,0.47,98.65,-115.00,311.65,27.45
272.00,-2.40,0.46,98.64,-115.00,312.80,27.48
273.00,-2.46,0.33,98.64,-115.00,313.95,27.51
274.00,-2.70,0.48,98.63,-115.00,315.10,27.54
275.00,-2.35,0.27,98.63,-115.00,316.25,27.56
276.00,-2.61,0.24,98.62,-115.00,317.40,27.59
277.00,-2.50,0.47,98.62,-115.00,318.55,27.62
278.00,-2.61,0.18,98.61,-115.00,319.70,27.65
279.00,-2.38,0.33,98.61,-115.00,320.85,27.67
280.00,-2.78,0.41,98.60,-115.00,322.00,27.70
281.00,-2.55,0.06,98.60,-115.00,323.15,27.73
282.00,-2.46,0.27,98.59,-115.00,324.30,27.76
283.00,-2.68,0.13,98.59,-115.00,325.45,27.78
284.00,-2.59,0.18,98.58,-115.00,326.60,27.81
285.00,-2.61,0.46,98.58,-115.00,327.75,27.84
286.00,-2.39,0.36,98.57,-115.00,328.90,27.87
287.00,-2.45,0.17,98.57,-115.00,330.05,27.89
288.00,-2.84,0.36,98.56,-115.00,331.20,27.92
289.00,-2.68,0.33,98.56,-115.00,332.35,27.95
290.00,-2.53,0.30,98.55,-115.00,333.50,27.98
291.00,-2.55,0.19,98.55,-115.00,334.65,28.00
292.00,-2.54,0.36,98.54,-115.00,335.80,28.03
293.00,-2.54,0.29,98.54,-115.00,336.95,28.06
294.00,-2.68,0.38,98.53,-115.00,338.10,28.09
295.00,-2.46,0.38,98.53,-115.00,339.25,28.11
296.00,-2.70,0.02,98.52,-115.00,340.40,28.14
297.00,-2.92,0.10,98.52,-115.00,341.55,28.17
298.00,-2.68,0.44,98.51,-115.00,342.70,28.20
299.00,-2.93,0.25,98.51,-115.00,343.85,28.22
300.00,-2.67,0.49,98.50,-115.00,345.00,28.25
301.00,-2.52,0.46,98.50,-115.00,346.15,28.28
302.00,-2.64,0.39,98.49,-115.00,347.30,28.31
303.00,-2.73,0.27,98.49,-115.00,348.45,28.33
304.00,-2.83,0.42,98.48,-115.00,349.60,28.36
305.00,-3.03,0.31,98.48,-115.00,350.75,28.39
306.00,-2.81,0.31,98.47,-115.00,351.90,28.42
307.00,-2.82,0.44,98.47,-115.00,353.05,28.44
308.00,-3.03,0.35,98.46,-115.00,354.20,28.47
309.00,-2.76,0.02,98.46,-115.00,355.35,28.50
310.00,-3.04,0.28,98.45,-115.00,356.50,28.53
311.00,-2.82,0.37,98.45,-115.00,357.65,28.55
312.00,-2.66,0.46,98.44,-115.00,358.80,28.58
313.00,-2.76,0.02,98.44,-115.00,359.95,28.61
314.00,-2.64,0.03,98.43,-115.00,361.10,28.64
315.00,-3.05,0.49,98.43,-115.00,362.25,28.66
316.00,-3.07,0.23,98.42,-115.00,363.40,28.69
317.00,-2.90,0.29,98.42,-115.00,364.55,28.72
318.00,-2.71,0.19,98.41,-115.00,365.70,28.75
319.00,-2.70,0.09,98.41,-115.00,366.85,28.77
320.00,-3.05,0.40,98.40,-115.00,368.00,28.80
321.00,-3.01,0.10,98.40,-115.00,369.15,28.83
322.00,-2.80,0.05,98.39,-115.00,370.30,28.86
323.00,-3.01,0.13,98.39,-115.00,371.45,28.88
324.00,-2.87,0.49,98.38,-115.00,372.60,28.91
325.00,-2.77,0.45,98.38,-115.00,373.75,28.94
326.00,-3.12,0.44,98.37,-115.00,374.90,28.97
327.00,-3.11,0.21,98.37,-115.00,376.05,28.99
328.00,-3.10,0.12,98.36,-115.00,377.20,29.02
329.00,-3.07,0.30,98.36,-115.00,378.35,29.05
330.00,-3.26,0.23,98.35,-115.00,379.50,29.08
331.00,-2.89,0.16,98.35,-115.00,380.65,29.10
332.00,-2.97,0.26,98.34,-115.00,381.80,29.13
333.00,-3.01,0.36,98.34,-115.00,382.95,29.16
334.00,-3.08,0.11,98.33,-115.00,384.10,29.19
335.00,-3.16,0.39,98.33,-115.00,385.25,29.21
336.00,-3.26,0.39,98.32,-115.00,386.40,29.24
337.00,-3.04,0.03,98.32,-115.00,387.55,29.27
338.00,-3.33,0.45,98.31,-115.00,388.70,29.30
339.00,-3.02,0.00,98.31,-115.00,389.85,29.32
340.00,-3.39,0.18,98.30,-115.00,391.00,29.35
341.00,-2.94,0.30,98.30,-115.00,392.15,29.38
342.00,-3.40,0.30,98.29,-115.00,393.30,29.41
343.00,-3.39,0.04,98.29,-115.00,394.45,29.43
344.00,-3.21,0.24,98.28,-115.00,395.60,29.46
345.00,-3.29,0.10,98.28,-115.00,396.75,29.49
346.00,-3.00,0.46,98.27,-115.00,397.90,29.52
347.00,-3.28,0.45,98.27,-115.00,399.05,29.54
348.00,-3.31,0.21,98.26,-115.00,400.20,29.57
349.00,-3.42,0.13,98.26,-115.00,401.35,29.60
350.00,-3.35,0.26,98.25,-115.00,402.50,29.63
351.00,-3.17,0.28,98.25,-115.00,403.65,29.65
352.00,-3.02,0.34,98.24,-115.00,404.80,29.68
353.00,-3.31,0.46,98.24,-115.00,405.95,29.71
354.00,-3.52,0.33,98.23,-115.00,407.10,29.73
355.00,-3.08,0.21,98.23,-115.00,408.25,29.76
356.00,-3.11,0.21,98.22,-115.00,409.40,29.79
357.00,-3.45,0.22,98.22,-115.00,410.55,29.82
358.00,-3.20,0.37,98.21,-115.00,411.70,29.84
359.00,-3.59,0.25,98.21,-115.00,412.85,29.87
360.00,-3.55,0.25,98.20,-115.00,414.00,29.90
361.00,-3.27,0.22,98.20,-115.00,415.15,29.93
362.00,-3.60,0.10,98.19,-115.00,416.30,29.95
363.00,-3.16,0.28,98.19,-115.00,417.45,29.98
364.00,-3.46,0.34,98.18,-115.00,418.60,30.01
365.00,-3.55,0.40,98.18,-115.00,419.75,30.04
366.00,-3.51,0.15,98.17,-115.00,420.90,30.06
367.00,-3.32,0.47,98.17,-115.00,422.05,30.09
368.00,-3.22,0.19,98.16,-115.00,423.20,30.12
369.00,-3.61,0.01,98.16,-115.00,424.35,30.15
370.00,-3.54,0.37,98.15,-115.00,425.50,30.17
371.00,-3.22,0.22,98.15,-115.00,426.65,30.20
372.00,-3.53,0.34,98.14,-115.00,427.80,30.23
373.00,-3.52,0.32,98.14,-115.00,428.95,30.26
374.00,-3.29,0.33,98.13,-115.00,430.10,30.28
375.00,-3.67,0.06,98.13,-115.00,431.25,30.31
376.00,-3.65,0.06,98.12,-115.00,432.40,30.34
377.00,-3.56,0.44,98.12,-115.00,433.55,30.37
378.00,-3.52,0.33,98.11,-115.00,434.70,30.39
379.00,-3.45,0.24,98.11,-115.00,435.85,30.42
380.00,-3.50,0.35,98.10,-115.00,437.00,30.45
381.00,-3.69,0.05,98.10,-115.00,438.15,30.48
382.00,-3.52,0.34,98.09,-115.00,439.30,30.50
383.00,-3.66,0.12,98.09,-115.00,440.45,30.53
384.00,-3.80,0.40,98.08,-115.00,441.60,30.56
385.00,-3.58,0.19,98.08,-115.00,442.75,30.59
386.00,-3.56,0.09,98.07,-115.00,443.90,30.61
387.00,-3.87,0.48,98.07,-115.00,445.05,30.64
388.00,-3.47,0.08,98.06,-115.00,446.20,30.67
389.00,-3.84,0.47,98.06,-115.00,447.35,30.70
390.00,-3.69,0.02,98.05,-115.00,448.50,30.72
391.00,-3.63,0.46,98.05,-115.00,449.65,30.75
392.00,-3.60,0.45,98.04,-115.00,450.80,30.78
393.00,-3.44,0.34,98.04,-115.00,451.95,30.81
394.00,-3.72,0.01,98.03,-115.00,453.10,30.83
395.00,-3.51,0.25,98.03,-115.00,454.25,30.86
396.00,-3.57,0.19,98.02,-115.00,455.40,30.89
397.00,-3.65,0.22,98.02,-115.00,456.55,30.92
398.00,-3.53,0.40,98.01,-115.00,457.70,30.94
399.00,-3.68,0.05,98.01,-115.00,458.85,30.97
400.00,-3.61,0.10,98.00,-115.00,460.00,31.00
401.00,-3.55,0.36,98.00,-115.00,461.15,31.03
402.00,-3.66,0.23,97.99,-115.00,462.30,31.05
403.00,-3.67,0.48,97.99,-115.00,463.45,31.08
404.00,-3.79,0.31,97.98,-115.00,464.60,31.11
405.00,-3.81,0.18,97.98,-115.00,465.75,31.14
406.00,-3.96,0.15,97.97,-115.00,466.90,31.16
407.00,-3.69,0.33,97.97,-115.00,468.05,31.19
408.00,-3.91,0.37,97.96,-115.00,469.20,31.22
409.00,-3.81,0.49,97.96,-115.00,470.35,31.25
410.00,-3.63,0.02,97.95,-115.00,471.50,31.27
411.00,-4.05,0.18,97.95,-115.00,472.65,31.30
412.00,-3.98,0.49,97.94,-115.00,473.80,31.33
413.00,-4.01,0.12,97.94,-115.00,474.95,31.36
414.00,-3.82,0.49,97.93,-115.00,476.10,31.38
415.00,-3.89,0.09,97.93,-115.00,477.25,31.41
416.00,-3.96,0.41,97.92,-115.00,478.40,31.44
417.00,-3.77,0.39,97.92,-115.00,479.55,31.47
418.00,-4.02,0.33,97.91,-115.00,480.70,31.49
419.00,-3.86,0.04,97.91,-115.00,481.85,31.52
420.00,-4.02,0.31,97.90,-115.00,483.00,31.55
421.00,-3.88,0.07,97.90,-115.00,484.15,31.58
422.00,-4.01,0.38,97.89,-115.00,485.30,31.60
423.00,-3.96,0.40,97.89,-115.00,486.45,31.63
424.00,-4.24,0.01,97.88,-115.00,487.60,31.66
425.00,-4.07,0.02,97.88,-115.00,488.75,31.69
426.00,-3.98,0.36,97.87,-115.00,489.90,31.71
427.00,-3.93,0.05,97.87,-115.00,491.05,31.74
428.00,-3.80,0.13,97.86,-115.00,492.20,31.77
429.00,-4.05,0.38,97.86,-115.00,493.35,31.80
430.00,-4.11,0.02,97.85,-115.00,494.50,31.82
431.00,-3.91,0.21,97.85,-115.00,495.65,31.85
432.00,-4.07,0.15,97.84,-115.00,496.80,31.88
433.00,-3.89,0.17,97.84,-115.00,497.95,31.91
434.00,-4.10,0.35,97.83,-115.00,499.10,31.93
435.00,-4.15,0.29,97.83,-115.00,500.25,31.96
436.00,-4.28,0.47,97.82,-115.00,501.40,31.99
437.00,-4.37,0.09,97.82,-115.00,502.55,32.02
438.00,-4.30,0.12,97.81,-115.00,503.70,32.04
439.00,-3.93,0.24,97.81,-115.00,504.85,32.07
440.00,-4.07,0.39,97.80,-115.00,506.00,32.10
441.00,-4.00,0.28,97.80,-115.00,507.15,32.13
442.00,-4.35,0.30,97.79,-115.00,508.30,32.16
443.00,-4.18,0.11,97.79,-115.00,509.45,32.18
444.00,-4.27,0.47,97.78,-115.00,510.60,32.21
445.00,-4.40,0.21,97.78,-115.00,511.75,32.24
446.00,-4.25,0.15,97.77,-115.00,512.90,32.27
447.00,-3.99,0.49,97.77,-115.00,514.05,32.29
448.00,-4.31,0.29,97.76,-115.00,515.20,32.32
449.00,-4.27,0.03,97.76,-115.00,516.35,32.35
450.00,-4.49,0.02,97.75,-115.00,517.50,32.38
451.00,-4.25,0.13,97.75,-115.00,518.65,32.40
452.00,-4.41,0.07,97.74,-115.00,519.80,32.43
453.00,-4.39,0.10,97.74,-115.00,520.95,32.46
454.00,-4.45,0.41,97.73,-115.00,522.10,32.49
455.00,-4.25,0.12,97.73,-115.00,523.25,32.51
456.00,-4.18,0.13,97.72,-115.00,524.40,32.54
457.00,-4.37,0.39,97.72,-115.00,525.55,32.57
458.00,-4.24,0.06,97.71,-115.00,526.70,32.60
459.00,-4.58,0.49,97.71,-115.00,527.85,32.62
460.00,-4.51,0.30,97.70,-115.00,529.00,32.65
461.00,-4.12,0.00,97.70,-115.00,530.15,32.68
462.00,-4.17,0.24,97.69,-115.00,531.30,32.71
463.00,-4.14,0.35,97.69,-115.00,532.45,32.73
464.00,-4.28,0.18,97.68,-115.00,533.60,32.76
